text,positive
"@redisskakat @girt_sk Единственное,что меня расстраивает на Бали. Невозможность сходить в кинотеатр с друзьями на интересный фильм :)",1
"Базарнов сегодня спрашивал - чем лучше сушиться :D Парень весит всего 60 кг где-то, ахаха. Но он сказал, что ему уже пора, лол",1
@Zhopushonok маловато получается)))) лучше Незлобин тогда),1
"@ekaetrina я люблю тебя со всеми твоими истериками, солнышко :D",1
"Урааа! @dolbysystem, вот!  я же говорила!))) #DavaiDinamo",1
Все свое ношу с собой ) Хорошая штука все же #Dropbox. Кто еще не в теме - регистрируемся и получаем бонус ) https://t.co/WZ9LDhqnQO,1
"лента до сих пор не может угомониться с этим АЙ ЭМ
голос похож на Билла, соглашусь, но бл, как так они написали сразу раста-песню? :D",1
"Дизайнер с большой буквы!) “@WoW_ReD: За 7 дней белые носки становятся черными, проходя ""50 оттенков серого""”",1
"@ViktorVTsoy @dks_kamila Кама, совести у тебя нет, как ты не почувствовала ТАКОЕ, ))))",1
Цена на билет на КВН на сегодняшний финал от 10 000 на балконе ;) #камызяки http://t.co/plvnmgSlah,1
"@__devyatyi__ да вот и получается, что хоть и москвичи,а всё как по понятиям привыкли,так только и могут.Позорище.Ещё и начальство вызывают)",1
"такой снежок идёт
мммм
*___*
на улице просто волшебно:)",1
Мой комп не выдерживает такого напора фоток от @real_dzemki ))) #СоколовскийЯХочуТебя,1
"Такая вот моя будущая работа, дигистировать балык) #товароведы http://t.co/dwn5wE7xUA",1
"Интересно, а почему   ставит readonly в своих топиках, когда там начинают общаться люди ^_^?",1
"@Kind_GooDMaN да не, я лучше тихо буду пялиться на них:D",1
"RT @Kerillka: Такое ощущение, что я очень стар)))
Ох, как это было давно. 
@Kaspersky_ru http://t.co/zbdmgRfrnI",1
"Юля знает куда мы соберемся поехать ,когда ей стукнет 18))",1
@UncleNick70 Жаль что только в 2180 году.....снова опоздаем..))),1
"я попиздил патихардит ухахах хз во сколько вернусь,надеюсь в час)
всем удачного времяпровождения:3",1
"Теперь я знаю страшную тайну, зачем у монитора ножка имеет круглую основу) http://t.co/9wK8HsjUFS",1
RT @Landi_love1D: @Grace_Bradberry Ааа точно))  спасибо!:*,1
"@upsguest  Да да, так всё и будет. Кто где вечером.))",1
@Kate_RinKv Они там уже год) Но недавно в версии для ПК они по-другому показываться стали.,1
@AndersonAndreev Влюбляешься автоматически?) Классные слова),1
"@Vikysha3 очень !!!
Но все говорят, что не очень /
Можно на нг придти )",1
"@cocjap значит тебя не интересует то, что люди, читающие тебя тоже смотрят этот сериал и им не очень-то приятно читать спойлеры?)",1
"@M_Morozova почему?) мы с медалью, походу, тьфу-тьфу)",1
alexfilmfreak как и обещал :-) Действительно какие времена были :-) http://t.co/VOaMX7JTEe,1
"Вот как #google любит зиму, сам эффекты добавил)) GIF: http://t.co/seK4NQF5tr",1
"@Narowin придет тебе перевод на 50 рублей и нужно будет заплатить комиссию 43,90 для его получения :o)",1
всем добра и сгущёнки — Спасибо ^_^ http://t.co/G072Azt4eN,1
"Ура!)) Первая победа на выезде в этом сезоне!! Наконец-то!! Жаль, что не в основное время, но хоть так!!)",1
"RT @jidopomuburi: взял вот такой комплект   у нее приемник чудный, да) Теперь у меня все беспроводное и на батарейках)",1
"Прекрасное утро:проснулась. полчаса назад ,а за окном снежоок)",1
@WWWNNRU Подстраиваетесь под чью-то или есть своя? )),1
"@Kiilmeplease Валяй:D Панд гони:D У меня тожи панды есть, давай ссылку на вк, покидаю:D",1
"Во всём саду воспитатели говорят, что такое происходит только у меня в группе)) http://t.co/imj4PereHz",1
"Проходят мимо две девушки, а я как крикну как третью зовут)))))",1
"@adomogarov Сегодня ""держу кулачки"" за Хайда!!! Желаю Вам взорвать спокойствие Питерской публики :)) http://t.co/7101AKDTby",1
"""@One_ENCLAVE: @maybe_reg49_27 @lisi_Ca @LyudaLa волчара позорная)))"" но но но!",1
А вот и первая гостевая победа Динамо вместе с Любомиром Поковичем! Хауген - красавец))),1
"@9101jungfever ихихи с: 
много еще экзаменов осталось?)",1
Вот и закончилась рабочая неделя! Как отпраздновать ее весело?) http://t.co/gdBK5Q3ScZ #fact #ireland #odessa http://t.co/DFDTp4Ih82,1
"@graff25 это без сомнений,но будильники реально работают раз через раз)пора на WP переходить)",1
"RT @Anna__Filatova: От новости про Виталика мы были в шоке:D
Теперь я точно поняла,что я-лох",1
"Вся в ожидании Оксана 
Упала голой на кровать 
И обалдели от такого 
И муж и мебельный салон )))",1
"как же это ахуенно спать до 12ти!
не сложилось на ПОДП дойти)",1
"уезжаю .
Регина , все будет хорошо 
уже лечу , кароч :D",1
Джефф красавчик :) спасибо @Darina_Strok за онлайн трансляцию) Всех с победой!!),1
"RT @masha_sl: Завтра в 33 гимназии новогодняя ярмарка !:)
Начало в 10:00 ,приходите;-)",1
"Я не знаю, но они были уже здесь задолго нашего появления. /)__) #follow",1
@sailortushkan боюсь пересказывать это было бы сложнее),1
"@chippcheg у меня вообще такая тема, что с любой стороны можно меня пнуть =)",1
"Наконец-то на Новый Год мы увидим снег, а не слякоть! ))",1
"Если написать слово ""ВАТМАН"", то 95% людей прочитают его как ""Бэтмэн"")",1
"RT @ollivercom: кому надо повангавать какие у вас трусы, обращаетесь к моему папе, то есть к дурьману :-)",1
"АХАХАХАХАХААХАХАХАХХАХААХХААХХАХАХААХХАХАХАХАХАХАЗПЗМХАХАЗПЗААХМЗАЗХАПЗАХ Я ОРИГИНАЛЕЕЕЕЕЕЕЕЕЕН,АЗПЗЩААЗЗПАХХААХА :D",1
"Ура переписывать будем в пн,значит можно подежурить :)",1
"Афигенно всё начиналось!Первые:смс-ки,цветы,мишки,поцелууи*)А сейчас сидишь и понимаешь.больше этого не будет!Да и не надо.будет ещё лучше*)",1
RT @Sultanore: Объявление века )))) http://t.co/I9VNiulLfl,1
Вот чем я пахну после ванны)#запахсчастья http://t.co/9McjwrtwLa,1
Лит-ра с русским тоже была збс:D смеялись над всякой фигней ахаха,1
RT @MishaKrupin: Доброе утро) дэласол и редман уууу http://t.co/EmAyTmtD7J,1
"Разговариваю с техподдержкой Зенона. Остро вспомнился ""WEBSITE IS DOWN!"" :D",1
"RT @infernal_orange: @CTAKAH_C_BVB пиздец хорошо = пизошо, запомни :D",1
"Мы с удовольствием будем смотреть донецкий ""ШАХТËР"" и не в ТС ;-) 
Павлик:)",1
"Мне сегодня приснилась песня, я ее не знаю и помню только одну строчку: ""он был отлитым пиратом"")) к чему бы это..",1
@Irreeena у нас учительница болела) не успели пройти программу),1
RT @strelec6120: охуенно замутил) http://t.co/CpkY51AR34,1
@dima_ryzhov сам придумал или опять сборник анекдотов прячешь где-то? )))),1
Только сейчас с трени пришла......на улице наступила настоящая зима.Красотень то какая:*,1
"@layssummer какая разница,этого не должно было тут быть :D",1
"Покупал сегодня кое-что в топшопе для сестры, все девушки вокруг смотрели на меня с максимально мимимишным выражением лица) #такнеловко",1
"RT @BlackaMane_BSM: @outaveli вам пора переходить на iOS,сир...))",1
"RT @Boo_Lika: Для тех, кто, проснувшись, читает тви #уфа: На улице снежно и минус 1 градус по Цельсию)) Не скользко и движение машин вялое.…",1
"""Наша гордость"" родного лицея :) @ МАОУ Лицей-интернат #1 г. Альметьевска http://t.co/uxeHuRdtb8",1
@_staacyyy лишь бы она ни передо мной сидела и ни за мной :D а откуда у неё тяга к обществу проснулась? :D,1
"@vikaaaa_rarar это уже просто так, с тобой за компанию)",1
"RT @tizycapyfec: кажется, это может быть полезно , надо будет почитать при очередном раунде битвы с натом   %)",1
"@fondly_Irina я в последнее время в школе вообще не появляюсь.. а на этой неделе всего на 5 уроках была, плюс завтра не иду в школу)",1
если бы люди могли сразу нормально разговаривать все было бы намного проще),1
RT @doker_ekb: @pchikov :-) С такими копчеными финнами мой дед в 1939 не воевал,1
"он широко улыбался не давая ей пройти между как всегда заваленными на половину проходом
она была ""рада""
блять)",1
@ylibatsya Это да ) А я вот думаю брать ли на рождетство или нет ),1
"завтра! 
потом в вскр утром на олимпиаду :) 
ууууууууууууууууу",1
"@meowsphere доставили, но не догадались заранее позвонить - хорошо, что родители по соседству живут)",1
"RT @Violetta_twit: @plaxa__  С Днём Рождения! Удачи тебе во всем!:З Прости, что утром не поздравила, я просто еще спала :D",1
"@e_mastah та вообще пох на пробки,никогда их не ощущал,ведь я живу на правом берегу бичис!)",1
@Kirill_Prosvir Она к тебе явно неравнодушна! Это самые вкусные конфеты в моей конфетной практике))),1
"Всем спать! А то еще нафлудите тут, пока я до работы буду добираться, и рабочий день опять испортится :)",1
RT @vulgar_chipa: записались с  @Vladimirovna409 на маникюр на 18.00 :),1
@chesteeeeer @samarovroman ну я как всегда опоздаю),1
"@phioniray правда я хочу чтобы робби вернули, а то он в таком виде и вполовину не так горяч)))))",1
RT @olyaolyaTerp: Классно потанцевали сегодня с @innazhurawlenko :D мне понравилось валяться на полу школы... :D,1
"@koortain @veshchij_oleg я так понял, что будут решать или в запас или комиссовать)))",1
"@mindofaddict , регенерация в действии)) Анализы говорят, что меня можно отправлять в космос. Я тоже подозреваю соматику, ...",1
"@Yulchik_ya  мне говорили, что на труде залили уже)",1
Проводить встречи утром это прикольно — контрагенты такие сонные слегка и можно их поразводить на допскидки :),1
"RT @pavlova1203olga: @Bonert_Emma ааа, дадада , всё верно)))",1
@mvideo уж пожалуйста :) по возможности - https://t.co/dKwXfNQxIi,1
RT @polinaria07: Дождались :) http://t.co/3wmwvxY4ob,1
Уи))) Женька во вторник скорее всего в школу приедет)))))) Рада Рада))))*,1
@Katrisha_2013 ты только первую часть сначала посмотри),1
пачиму? оо — патаму шта я сказал) http://t.co/tfsvrlnh2u,1
Стоять в супермаркете и смотреть биатлон. Так проходит мой шоппинг),1
Всё же что-то достойное в ВКонтакте есть)) @staspieha --&gt; http://t.co/8yk3BZMmY1,1
"RT @_In_Bloom_: МОЙ 6К МОСВЯЩАЮ МОИМ ЛЮБИМКАМ
@Green_FOB мой гейский муж**
@CTOHEM_  мой вечный собеседник))*
@CTAPT_HA_MAPC и мой гитар-уч…",1
@ChistoLenta если только десницей Роберта Баратеона),1
"@alina_archibald она это что или кто?)
ага, для придания большего эффекта :D",1
"@shitpisspuke @CKAHAX да норм, еще подрастет, не буду его гномом считать)))",1
После введения инвайтов nnm-club похож на приратскую РПГ =),1
"сегодня у одной крутой бичи день рождения! @snezook поздравляю тебя с днем рождения! будь самой-самой счастливой,красота:* море любви тебе",1
"RT @Iron_wings: @___DESTROYA__  бридж)
у меня у самого интернет хреново работает :с",1
"RT @alkoholmustdie: @shitpisspuke @CKAHAX да норм, еще подрастет, не буду его гномом считать)))",1
у КРС секса нет!!!) Родственного скрещивания коров не допустит программа «Сыбага» -Мамытбеков http://t.co/7lHUwN2zF5,1
RT @brown_eyed_owl: в новом клипе The Fray засветилась Кэндис Аккола) #TVD #new #TheFray,1
@verabramovich ну прости) но для меня ты всегда останешься Малаховой Вероникой ,1
еще раз убеждаюсь что девушек очень тяжело понять иногда даже не возможно....но это и притягивает нас к ним))))),1
@Jil_hooky сплю абсолютно один . даже без мягких игрушек),1
"@lerochkamiu да я просто не буду больше писать, надо будет.. вспомнит и сам напишет)",1
"@babi4, http://t.co/3OcV2xUYjy, бэктрейсы в продукшене… Какое уж тут нагрузочное.
Also чем редис &gt; мемкеша для, well, кеша?)",1
Сегодня познакомилась с Димой из 5 класса.он уже любит меня.мне везет:D,1
Как снег пошол так и новогоднее настроение появилось))))),1
"ПЕРЕПОСТ!!!!!!!!!!!!!!

ЖАЛЬ, ЧТО НА УКРАИНУ НЕ ПОСЛАЛИ))) http://t.co/W0uqzLaKqA",1
сплю такая на парте и со всех сторон подходят ребята я аж ахирелаа:DD,1
"@kapsya72 что-то вроде того))) Но в любом случае роль у Данилы интересная, для него неожиданная!",1
"@Rus___G: Когда мы приехали в Алмату, нас встречал какой-то мужик и привел нас на квартиру ... показывал там нам ...
:D",1
"В 4 договорились с Лехой,Максом,Валероном встретиться на лестничной площадке)))",1
"малышка,сегодня будем веселиться.потому уже просто ну очень надо.жду вечера с @yulisukkyb.надеюсь, что Котяра доедет до нас)@nikitamartovsky",1
@voryi_ybivai вспоминаете вы все про меня только перед приездом))),1
Можешь так? Взрослым не смотреть!!!))): http://t.co/KFyiPMRhmC с помощью @youtube,1
Буду смотреть концерн Земфиры в прямом эфире) http://t.co/BhjZfjkCnd http://t.co/dcrYUkMdbr,1
@Griwqua_aNte а я лучше уже сегодня -- чего тянуть ;),1
Ахаха!! У кого-то инет открыт)))) Я сейчас дорамку качаю))),1
Хотела наконец отдохнуть. И тут слышу за дверью- ТОП ТОП ТОП и тут она уже на пороге в моей комнате. :D люблю ее. &lt;3 http://t.co/Z9WHrUMLek,1
"Офигенный день!
день позитива)
бегал как идиот целый день!
танцы офигенны, хоть я и ракал но мне очень понравилось!",1
YG вы все наркоманы! Черин ты вообще сволочь! Я вас всех ненавижу :D лал,1
"Ну вот. Первый запротоколированный ПЧёл есть.
Не знаю, кто ты, но спасибо. =)",1
Первый экзамен 10 января)а последний 23)удачно все)ура,1
@EliyaAlieva хахах ой и не говори мне даже об этом!),1
"Если ты сидишь в кафе и в час дня пьешь пиво то на тебя все палят, а в кофе на вокзале всем пох,  поздновато понедел то)",1
"@pmasliynyk в 11 ехал, мело, видимости не было. Про скользко я ничего и не писал )",1
RT @Lubastick: @BenedictRim и на убирашки в том числе :D,1
@AnnaJanovicz у меня они тоже в 22 появились=) с ДР!,1
"Вова:3
Спасибо большое:)))
Ты мой герой сегодня:)))",1
Красота спасет Омск. А партнеры у нас эстеты :) http://t.co/3PjUdNgAGD,1
RT @newatosozor: Tkabber работает. :) Но страшный же он!,1
@StacyRise А я ещё в августе исправилась и начала говорит правильно :D,1
"RT @ItgelHusel89: @bisheemuu Зам нь бартаатай, хол бсн ч заавал чи олоорой, хүрээрэй ... Амжилт :-))",1
"Но повар зарезал его специальным кошерным ножом, и двор гостиницы потонул в крови. :-) #ff #follow",1
"@Bacbkoo вася, не веди себя как зануда )) мы же молодежь беларуси!!!! ))",1
наконец-то скоро жрать пойдем! Целый день голодный:),1
@alone_alien одна с половиной пара и куча сладостей - что может быть лучше? :3 ты как? ;))),1
"Только что прочитала рекламу по телеку: требуется «бабочка», ахаха. Я охерела:D",1
"@PankratovaKotya вроде бы не очень, не знаю. Тройка лидеров из 25 шк и гимназии)",1
"Мне сегодня приснилась песня, я ее не знаю и помню только одну строчку: ""он был отличным пиратом"")) к чему бы это..",1
"@ProSport69 нафиг такую жизнь!Имя другое взяла и зачем только придумала о себе историю,я не знаю.Надо б ей написать,да на землю приспустить)",1
@Ninnel РАД))))))) Ага все замечательно. Вчера фотки делал.,1
"@ukrpravda_news хлопці трохи перестарались... ""30 грудня"":)",1
"Агмдгседгес у Роджерины есть мое любимое стихотворение)
Можно умирать спокойно",1
Опилки в голове не только у Винни-Пуха ) http://t.co/MoMd4d3gs3 с помощью @youtube,1
RT @Nastia24722842: Как-то так.. :) http://t.co/EMf7JSpqZM,1
А зарабатывал я на испытаниях лекарств. /)__) #TeamFollowBack,1
RT @_N_Z_L_H_L_: @only_069 ВЫЗДАРАВЛИВАЙ) http://t.co/zpHR0xolez,1
"@_rakka_ ты уже второй мой знакомый, шо хочет в Норвегию) еще есть один - в Швецию. а я не люблю холод))",1
"RT @kravz1: я , Хамиль и Раскар! работаем ) http://t.co/QUlKBk8FNe",1
"RT @dedmorozrus: Всем прекрасной пятницы, друзья!!!!)))",1
А кто-нибудь сможет подсказать хороших книжек по дизайну в вебе )) не себе =),1
@know_facts в моей группе та же фигня) за исключением одного петуха),1
Смотрю старые японские фильмы. Все таки они крутые),1
"Девушка,тебя куда подвести?)Я со злости отвечаю: Туда куда мне нужно даже бензина на маршр",1
"кстати,все равно мы молодцы!! наша группа заняла второе место в олимпиаде)
пиздюки первые :С",1
"@KovalchukElena незаконный оборот взрывчатых веществ и боеприпасов? Ок, подкидываю)))",1
@maybe_reg49_27 @One_ENCLAVE @lisi_Ca ооо! Тибетская! Смешная и вправду),1
"Бля мне в понедельник к врачу, а я толька больше заболел :D",1
Игровые новинки)) Sony пророчит триумф PS4 над предшественницей  #игры,1
Шоколадные опыты:) @the_mrfinn http://t.co/97qewfT0D2,1
"@lucienze @UniverseIsMCR @Cocucka_Misha @vs_blise @ImokayWay @Bankofsummer спасибушки :* P.S. только заметила, форэвэ слоу)",1
"Самое печальное что я даже имея повод, причины и мотивацию не могу тут страдаки разводить. Это так грустно :D",1
RT @RadioRecord: А какой у вас способ подготовки?) #radiorecord http://t.co/YY2hLx14fw,1
"@silverbyun ну хорошо, как скажешь гей))))
тебе лейка придет, ну а мне...... )))))))",1
@AnnaJanovicz психолог спросил бы: - И в чем это проявляется?:),1
"@alone_alien блин,ссори,я просто от радости всё позабывала с:
я сейчас как дурачок по квартире бегаю и одеваюсь:D",1
"5) Когда кончились все деньги, а тебе надо платить в т.ч. по большому кол-ву судебных трат и на ребенка - это страшно. Хочется в тюрьму",1
Гороскоп для ВСЕХ на выходные. Смотреть видео :) / #party #hustle #hustlehard http://t.co/j11WUHxz6O,1
"Смотрите как нужно рисовать на планшете. Прикольно, да? :) http://t.co/W8dOCkht0L",1
"После школы,делать нефиг) #webcamtoy http://t.co/Nd7XN7qf4m",1
@Stasyanka88 ахаха суровый кеп пустил свинцовую слезу ))),1
"у меня опять полный рот крови :-)))
ска бля, она вкусная :-)))))))",1
"Рождественский дизайн стаканчиков от kuzina_nsk  )
#christmas @ Kuzina http://t.co/rBbXaUTLmU",1
Разоблачение : Серега Еронин купил на подставное лицо очень дорогой немецкий автомобиль. Подробности позже ))))),1
Что я сделала с пальцем?у меня он весь в синяке и опух),1
"RT @ya_Kristi: А куда пропала моя любова КОХАНА ХОРАНА??:)
Я её уже минут 20 в ленте не вижу :)",1
"Блин, пол года ждала этого дня) И все классно)) Я увидела олимпийский огонь))) Видела как огонь передали Толоконскому ^^",1
"@drewitski А я вот печатаю даже не глядя на клаву и буквы не путаю))) Т.к.прошла от начала до конца курс ""Соло на клавиатуре"" Шахиджаняна",1
RT @davidmsk: Вот такая растительность в Коста-Рике :) http://t.co/5pn8hBdpcg,1
